regime,factorKey,factorLabel,factorValue,seedRep,metricKey,metricLabel,fixedValue,greedyValue,ratio,arrivalsPerStep,departuresPerStep,gridSize,simDuration,arrivalMin,arrivalMax,departureRate,requestedFactorValue,runSeed,inflowSeedOffset
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7895,0,sumQueueSizes,Total Queue Size (Final),165249,158013,0.956211535319427,400,160,5,500,0,40,8,0.7895,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7895,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),8399.412043024795,7932.3583110885775,0.9443944731436199,400,160,5,500,0,40,8,0.7895,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7895,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),32178091,25124058,0.7807814950862063,400,160,5,500,0,40,8,0.7895,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7895,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),10301186.626326423,7084527.794615631,0.6877390005254271,400,160,5,500,0,40,8,0.7895,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.8421,0,throughput,Network Throughput (Final),28409,34715,1.221971910310113,400,160,5,500,0,40,8,0.8421,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.8421,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.8421,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.8421,0,vehiclesInNetwork,Vehicles In Network (Final),170655,164349,0.9630482552518238,400,160,5,500,0,40,8,0.8421,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.8421,0,sumQueueSizes,Total Queue Size (Final),170032,162356,0.9548555566011104,400,160,5,500,0,40,8,0.8421,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.8421,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),8007.363713382987,8418.993574065691,1.0514064148222382,400,160,5,500,0,40,8,0.8421,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.8421,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),34069502,26031131,0.7640596272877719,400,160,5,500,0,40,8,0.8421,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.8421,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),11310601.167310212,7426403.625884015,0.656587878577819,400,160,5,500,0,40,8,0.8421,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.8947,0,throughput,Network Throughput (Final),24076,30226,1.2554411031732846,400,160,5,500,0,40,8,0.8947,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.8947,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.8947,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.8947,0,vehiclesInNetwork,Vehicles In Network (Final),174988,168838,0.96485473289597,400,160,5,500,0,40,8,0.8947,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.8947,0,sumQueueSizes,Total Queue Size (Final),174566,166992,0.9566123987488973,400,160,5,500,0,40,8,0.8947,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.8947,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),7363.883459428706,9039.10319537583,1.2274913427373941,400,160,5,500,0,40,8,0.8947,2,0
